surface,slot,canonical_value,level,priority,category_hint,need_hint,gate_hint,is_protected,allow_nested,match_type,source,memo,use_typo,typo_threshold,use_embedding,embedding_text,embedding_threshold
당뇨 식단,hard_oos,당뇨 식단,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
당뇨 원인,hard_oos,당뇨 원인,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,당뇨 원인 당뇨 원인 질병정보탐색 보험 의도가 없는 건강정보/OOS,
대상포진 증상,hard_oos,대상포진 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
백내장 수술 잘하는 병원,hard_oos,백내장 수술 잘하는 병원,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
병원,hard_oos,병원,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,병원 병원 질병정보탐색 보험 의도가 없는 건강정보/OOS,
식단,hard_oos,식단,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,식단 식단 질병정보탐색 보험 의도가 없는 건강정보/OOS,
암 수술 병원,hard_oos,암 수술 병원,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
암 증상,hard_oos,암 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,암 증상 암 증상 질병정보탐색 보험 의도가 없는 건강정보/OOS,
암 초기증상,hard_oos,암 초기증상,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,암 초기증상 암 초기증상 질병정보탐색 보험 의도가 없는 건강정보/OOS,
암 치료 병원,hard_oos,암 치료 병원,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
암에 좋은 음식,hard_oos,암에 좋은 음식,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
우울증 자가진단,hard_oos,우울증 자가진단,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
운동,hard_oos,운동,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,운동 운동 질병정보탐색 보험 의도가 없는 건강정보/OOS,
자궁근종 증상,hard_oos,자궁근종 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
치료법,hard_oos,치료법,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,치료법 치료법 질병정보탐색 보험 의도가 없는 건강정보/OOS,
치매 초기증상,hard_oos,치매 초기증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
파킨슨 증상,hard_oos,파킨슨 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
폐렴 증상,hard_oos,폐렴 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
혈압 수치,hard_oos,혈압 수치,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,혈압 수치 혈압 수치 질병정보탐색 보험 의도가 없는 건강정보/OOS,
건강검진,hard_oos,건강검진,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,건강검진 건강검진 질병정보탐색 비보험 건강정보/OOS 확장,
검사비,hard_oos,검사비,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,검사비 검사비 질병정보탐색 비보험 건강정보/OOS 확장,
명의,hard_oos,명의,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,명의 명의 질병정보탐색 비보험 건강정보/OOS 확장,
백신,hard_oos,백신,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,백신 백신 질병정보탐색 비보험 건강정보/OOS 확장,
병원비,hard_oos,병원비,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,병원비 병원비 질병정보탐색 비보험 건강정보/OOS 확장,
부작용,hard_oos,부작용,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,부작용 부작용 질병정보탐색 비보험 건강정보/OOS 확장,
생존율,hard_oos,생존율,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,생존율 생존율 질병정보탐색 비보험 건강정보/OOS 확장,
수술잘하는병원,hard_oos,수술잘하는병원,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,수술잘하는병원 수술잘하는병원 질병정보탐색 비보험 건강정보/OOS 확장,
약 부작용,hard_oos,약 부작용,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,약 부작용 약 부작용 질병정보탐색 비보험 건강정보/OOS 확장,
예방접종,hard_oos,예방접종,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,예방접종 예방접종 질병정보탐색 비보험 건강정보/OOS 확장,
완치율,hard_oos,완치율,1,9450,,질병정보탐색,oos,Y,N,contains,base,비보험 건강정보/OOS 확장,N,,N,완치율 완치율 질병정보탐색 비보험 건강정보/OOS 확장,
4대보험 가입확인서,public_non_private,4대보험 가입확인서,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
4대보험 완납증명서,public_non_private,4대보험 완납증명서,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
건강보험 자격득실,public_non_private,건강보험 자격득실,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,건강보험 자격득실 건강보험 자격득실 OOS 공공/제도성 보험 OOS 보호,
건강보험 자격확인서,public_non_private,건강보험 자격확인서,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
건강보험 피부양자,public_non_private,건강보험 피부양자,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
건강보험료 납부확인서,public_non_private,건강보험료 납부확인서,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
고용산재토탈서비스,public_non_private,고용산재토탈서비스,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
구민안전보험,public_non_private,구민안전보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,구민안전보험 구민안전보험 OOS 공공/제도성 보험 OOS 보호,
국민연금,public_non_private,국민연금,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
군민안전보험,public_non_private,군민안전보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,군민안전보험 군민안전보험 OOS 공공/제도성 보험 OOS 보호,
근로복지공단,public_non_private,근로복지공단,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
노인장기요양보험,public_non_private,노인장기요양보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,노인장기요양보험 노인장기요양보험 OOS 공공/제도성 보험 OOS 보호,
도민안전보험,public_non_private,도민안전보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,도민안전보험 도민안전보험 OOS 공공/제도성 보험 OOS 보호,
산재 신청,public_non_private,산재 신청,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
시민안전보험,public_non_private,시민안전보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,시민안전보험 시민안전보험 OOS 공공/제도성 보험 OOS 보호,
실업급여 신청,public_non_private,실업급여 신청,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
의료보험공단,public_non_private,의료보험공단,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
장기요양보험공단,public_non_private,장기요양보험공단,2,9050,,OOS,oos,Y,N,contains,base_massive_v3,공공/비민영 보험 검색어,N,,N,,0.82
지자체 보험,public_non_private,지자체 보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,지자체 보험 지자체 보험 OOS 공공/제도성 보험 OOS 보호,
지자체보험,public_non_private,지자체보험,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,지자체보험 지자체보험 OOS 공공/제도성 보험 OOS 보호,
학교 안전공제,public_non_private,학교 안전공제,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,학교 안전공제 학교 안전공제 OOS 공공/제도성 보험 OOS 보호,
학교안전공제,public_non_private,학교안전공제,2,9050,,OOS,oos,Y,N,contains,base_massive_v2,공공/제도성 보험 OOS 보호,N,,N,학교안전공제 학교안전공제 OOS 공공/제도성 보험 OOS 보호,
4대보험,public_non_private,4대보험,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,4대보험 4대보험 OOS 민영보험이 아닌 공공/제도성 검색,
건강보험 자격득실,public_non_private,건강보험자격득실,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,건강보험 자격득실 건강보험자격득실 OOS 민영보험이 아닌 공공/제도성 검색,
건강보험공단,public_non_private,건강보험공단,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,건강보험공단 건강보험공단 OOS 민영보험이 아닌 공공/제도성 검색,
고용보험,public_non_private,고용보험,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,고용보험 고용보험 OOS 민영보험이 아닌 공공/제도성 검색,
국민건강보험,public_non_private,국민건강보험,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,국민건강보험 국민건강보험 OOS 민영보험이 아닌 공공/제도성 검색,
산재보험,public_non_private,산재보험,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,산재보험 산재보험 OOS 민영보험이 아닌 공공/제도성 검색,
실업급여,public_non_private,실업급여,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,실업급여 실업급여 OOS 민영보험이 아닌 공공/제도성 검색,
자격득실확인서,public_non_private,자격득실확인서,2,9000,,OOS,oos,Y,N,contains,base,민영보험이 아닌 공공/제도성 검색,N,,N,자격득실확인서 자격득실확인서 OOS 민영보험이 아닌 공공/제도성 검색,
보험금청구,action_service,청구,3,8650,,청구/보험금문의,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,보험금청구 청구 청구/보험금문의 서비스/청구 액션 확장,
실비청구,action_service,청구,3,8650,실손보험,청구/보험금문의,general,Y,Y,contains,base,서비스/청구 액션 확장,N,,N,실비청구 청구 청구/보험금문의 서비스/청구 액션 확장,
실손청구,action_service,청구,3,8650,,청구/보험금문의,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,실손청구 청구 청구/보험금문의 서비스/청구 액션 확장,
청구방법,action_service,청구,3,8650,,청구/보험금문의,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,청구방법 청구 청구/보험금문의 서비스/청구 액션 확장,
청구서류,action_service,서류,3,8700,,서류/증빙확인,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,청구서류 서류 서류/증빙확인 서비스/청구 액션 확장,
필요서류,action_service,서류,3,8650,,서류/증빙확인,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,필요서류 서류 서류/증빙확인 서비스/청구 액션 확장,
구비서류,action_service,서류,3,8600,,서류/증빙확인,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,구비서류 서류 서류/증빙확인 서비스/청구 액션 확장,
서류,action_service,서류,3,8600,,서류/증빙확인,general,N,N,contains,base,청구/서류/해지/계약 등 서비스성 의도,N,,N,서류 서류 서류/증빙확인 청구/서류/해지/계약 등 서비스성 의도,
해약환급금,action_service,환급금,3,8600,,해지/환급문의,general,Y,N,contains,base,서비스/청구 액션 확장,N,,N,해약환급금 환급금 해지/환급문의 서비스/청구 액션 확장,
가입 가능,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입 가능 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
가입 방법,action_service,가입방법,3,8550,,가입방법확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입 방법 가입방법 가입방법확인 확장 고객 행동/서비스 단서,
가입 연령,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입 연령 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
가입 절차,action_service,가입방법,3,8550,,가입방법확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입 절차 가입방법 가입방법확인 확장 고객 행동/서비스 단서,
가입 조건,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입 조건 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
가입가능,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입가능 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
가입나이,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입나이 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
가입방법,action_service,가입방법,3,8550,,가입방법확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입방법 가입방법 가입방법확인 확장 고객 행동/서비스 단서,
가입절차,action_service,가입방법,3,8550,,가입방법확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입절차 가입방법 가입방법확인 확장 고객 행동/서비스 단서,
가입조건,action_service,가입가능성,3,8550,,가입가능성확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,가입조건 가입가능성 가입가능성확인 확장 고객 행동/서비스 단서,
감액 완납,action_service,계약유지변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,감액 완납 계약유지변경 계약관리문의 확장 고객 행동/서비스 단서,
감액완납,action_service,계약유지변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,감액완납 계약유지변경 계약관리문의 확장 고객 행동/서비스 단서,
갱신 보험료,action_service,갱신,3,8550,,갱신/유지문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,갱신 보험료 갱신 갱신/유지문의 확장 고객 행동/서비스 단서,
갱신보험료,action_service,갱신,3,8550,,갱신/유지문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,갱신보험료 갱신 갱신/유지문의 확장 고객 행동/서비스 단서,
계약자 변경,action_service,계약변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,계약자 변경 계약변경 계약관리문의 확장 고객 행동/서비스 단서,
계약자변경,action_service,계약변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,계약자변경 계약변경 계약관리문의 확장 고객 행동/서비스 단서,
계좌변경,action_service,납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,계좌변경 납입관리 계약관리문의 확장 고객 행동/서비스 단서,
납입중지,action_service,보험료납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,납입중지 보험료납입관리 계약관리문의 확장 고객 행동/서비스 단서,
만기 환급금,action_service,만기환급금,3,8550,,해지/환급문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,만기 환급금 만기환급금 해지/환급문의 확장 고객 행동/서비스 단서,
면부책,action_service,보험금심사,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,면부책 보험금심사 청구/보험금문의 확장 고객 행동/서비스 단서,
모바일청구,action_service,청구,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,모바일청구 청구 청구/보험금문의 확장 고객 행동/서비스 단서,
미납,action_service,실효부활,3,8550,,갱신/유지문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,미납 실효부활 갱신/유지문의 확장 고객 행동/서비스 단서,
보험 계약 대출,action_service,약관대출,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험 계약 대출 약관대출 계약관리문의 확장 고객 행동/서비스 단서,
보험금 지급,action_service,보험금심사,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험금 지급 보험금심사 청구/보험금문의 확장 고객 행동/서비스 단서,
보험금 청구,action_service,청구,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험금 청구 청구 청구/보험금문의 확장 고객 행동/서비스 단서,
보험료 납입,action_service,보험료납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험료 납입 보험료납입관리 계약관리문의 확장 고객 행동/서비스 단서,
보험료 조회,action_service,보험료납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험료 조회 보험료납입관리 계약관리문의 확장 고객 행동/서비스 단서,
보험료납입,action_service,보험료납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험료납입 보험료납입관리 계약관리문의 확장 고객 행동/서비스 단서,
보험료조회,action_service,보험료납입관리,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험료조회 보험료납입관리 계약관리문의 확장 고객 행동/서비스 단서,
보험증권,action_service,계약조회,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험증권 계약조회 계약관리문의 확장 고객 행동/서비스 단서,
보험증권발급,action_service,계약조회,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,보험증권발급 계약조회 계약관리문의 확장 고객 행동/서비스 단서,
부지급,action_service,보험금심사,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,부지급 보험금심사 청구/보험금문의 확장 고객 행동/서비스 단서,
부활,action_service,실효부활,3,8550,,갱신/유지문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,부활 실효부활 갱신/유지문의 확장 고객 행동/서비스 단서,
세부내역서,action_service,서류,3,8550,,서류/증빙확인,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,세부내역서 서류 서류/증빙확인 확장 고객 행동/서비스 단서,
수익자 변경,action_service,계약변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,수익자 변경 계약변경 계약관리문의 확장 고객 행동/서비스 단서,
실손 청구 간소화,action_service,청구간소화,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,실손 청구 간소화 청구간소화 청구/보험금문의 확장 고객 행동/서비스 단서,
실손청구간소화,action_service,청구간소화,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,실손청구간소화 청구간소화 청구/보험금문의 확장 고객 행동/서비스 단서,
실효,action_service,실효부활,3,8550,,갱신/유지문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,실효 실효부활 갱신/유지문의 확장 고객 행동/서비스 단서,
앱청구,action_service,청구,3,8550,,청구/보험금문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,앱청구 청구 청구/보험금문의 확장 고객 행동/서비스 단서,
약대,action_service,약관대출,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,약대 약관대출 계약관리문의 확장 고객 행동/서비스 단서,
연장 정기,action_service,계약유지변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,연장 정기 계약유지변경 계약관리문의 확장 고객 행동/서비스 단서,
연장정기,action_service,계약유지변경,3,8550,,계약관리문의,general,N,N,contains,base_massive_v2,확장 고객 행동/서비스 단서,N,,N,연장정기 계약유지변경 계약관리문의 확장 고객 행동/서비스 단서,
